uuid,courier_name,courier_name_from_qasid,courier_from_barcode,courier_from_ocr,tracking_no
1f0bc424-24e7-40c8-8c8f-e7b633c91a48,,,false,false,88594139010401
4db3b0d0-3729-448a-9121-ca4b5c0a7730,australia-post,australia-post,false,true,
16a539ae-9170-49b5-bdc6-27ed7d415788,australia-post,australia-post,false,true,
4d67c32d-f8f0-4461-9f03-1590599f53c6,,,false,false,
1c6c8c51-5f13-4e6e-a969-e2896de80fe0,fedex,fedex,true,true,787820189940
905a99be-2501-4539-9284-17e3ef82b0e0,usps,usps,false,true,
e7d5fa84-6651-4f5d-8f3a-95fb376d70e6,usps,usps,false,true,9400111202575402748716
7f436f79-63ed-417a-915f-ab09c264ebd8,australia-post,australia-post,false,true,HBT510265901000935109
67d73fd2-8748-4ee7-8d41-64b995060d9e,,,false,false,
936cd767-aed5-46de-8265-46890720ad3c,,mercado,false,true,40436856341
1bf15e3b-08b5-4d7e-89ef-173523c7ec0a,amazon-fba-us,amazon-fba-us,false,true,spW6L86516N
e4e56d65-ab1b-4d14-8842-787dbcf0efcb,dhl,dhl,true,false,JJD014600008680365529
520f27ae-7075-4250-8a54-657bf3402f03,ups,ups,true,true,1Z5E85210168536180
132e9f2a-d980-488c-bf31-b4cafd8dca5d,,,false,false,
deeb13ff-e851-4064-86b0-93890953b0cb,amazon-fba-us,amazon-fba-us,false,true,TBA004702129104
610465be-bc28-45f8-b55b-5b1a5fa376d9,fedex,fedex,false,true,
e7023c40-8469-479e-b025-af1976eb4a10,,,false,false,
6544add5-9e85-4ff0-8cf3-f2577773312d,japan-post,japan-post,false,true,
0e09dd86-8217-4aab-b02d-e8f404a7bab5,amazon-fba-us,amazon-fba-us,false,true,TBA007145329503
0f6e19b7-97e5-42fb-beab-a488a7876e08,,,false,false,
1e60ee4e-73c6-4ba6-8c4c-37ba8c22dcb5,ups,ups,true,true,1Z08413R0355405418
ed5b2d64-b31a-49b4-aabd-8489b3986059,usps,usps,false,true,
7d20635e-c0ff-4674-9062-abb9f5ccd3f6,fedex,fedex,false,true,786811447850
e0b77f21-d24a-4793-9075-382ba9b832c6,fedex,fedex,false,true,
8ee33d49-c828-4d3a-9804-d6846f42cfb7,fedex,fedex,true,true,773168638048
9507508a-b792-4ae2-9c4b-6930633c5ada,j&t-express,j&t-express,false,true,JD0115068544
caa623e6-31a9-4d56-b5e2-68e46770d679,fedex,fedex,true,true,773169246740
457a85d6-f0c8-46a2-850f-d122254c8d91,amazon-fba-us,amazon-fba-us,false,true,TBA103553273004
